     Cross line      Init line      Cross-sec    Edge length
              1              1              0             84
              2              2              0             84
              3              3              0             84
              4              4              0             84
              5              5              0             84
              6              6              0             84
              7              1              1             84
              8              2              1             84
              9              3              1             84
             10              4              1             84
             11              5              1             84
             12              6              1             84
             13              1              2             84
             14              2              2             84
             15              3              2             84
             16              4              2             84
             17              5              2             84
             18              6              2             84
             19              1              3             84
             20              2              3             84
             21              3              3             84
             22              4              3             84
             23              5              3             84
             24              6              3             84
             25              1              4             84
             26              2              4             84
             27              3              4             84
             28              4              4             84
             29              5              4             84
             30              6              4             84
             31              1              5             84
             32              2              5             84
             33              3              5             84
             34              4              5             84
             35              5              5             84
             36              6              5             84

    Edge length     # of edges
             84             36
