     Cross line      Init line      Cross-sec    Edge length
              1              1              0             42
              2              2              0             42
              3              3              0             42
              4              4              0             42
              5              5              0             42
              6              6              0             42
              7              7              0             42
              8              8              0             42
              9              9              0             42
             10             10              0             42
             11             11              0             42
             12             12              0             42
             13             13              0             42
             14             14              0             42
             15             15              0             42
             16             16              0             42
             17             17              0             42
             18             18              0             42
             19             19              0             42
             20             20              0             42
             21             21              0             42
             22             22              0             42
             23             23              0             42
             24             24              0             42
             25             25              0             42
             26             26              0             42
             27             27              0             42
             28             28              0             42
             29             29              0             42
             30             30              0             42
             31              1              1             42
             32              2              1             42
             33              3              1             42
             34              4              1             42
             35              5              1             42
             36              6              1             42
             37              7              1             42
             38              8              1             42
             39              9              1             42
             40             10              1             42
             41             11              1             42
             42             12              1             42
             43             13              1             42
             44             14              1             42
             45             15              1             42
             46             16              1             42
             47             17              1             42
             48             18              1             42
             49             19              1             42
             50             20              1             42
             51             21              1             42
             52             22              1             42
             53             23              1             42
             54             24              1             42
             55             25              1             42
             56             26              1             42
             57             27              1             42
             58             28              1             42
             59             29              1             42
             60             30              1             42
             61              1              2             42
             62              2              2             42
             63              3              2             42
             64              4              2             42
             65              5              2             42
             66              6              2             42
             67              7              2             42
             68              8              2             42
             69              9              2             42
             70             10              2             42
             71             11              2             42
             72             12              2             42
             73             13              2             42
             74             14              2             42
             75             15              2             42
             76             16              2             42
             77             17              2             42
             78             18              2             42
             79             19              2             42
             80             20              2             42
             81             21              2             42
             82             22              2             42
             83             23              2             42
             84             24              2             42
             85             25              2             42
             86             26              2             42
             87             27              2             42
             88             28              2             42
             89             29              2             42
             90             30              2             42
             91              1              3             58
             92              2              3             58
             93              3              3             58
             94              4              3             58
             95              5              3             58
             96              6              3             58
             97              7              3             58
             98              8              3             58
             99              9              3             58
            100             10              3             58
            101             11              3             58
            102             12              3             58
            103             13              3             58
            104             14              3             58
            105             15              3             58
            106             16              3             58
            107             17              3             58
            108             18              3             58
            109             19              3             58
            110             20              3             58
            111             21              3             58
            112             22              3             58
            113             23              3             58
            114             24              3             58
            115             25              3             58
            116             26              3             58
            117             27              3             58
            118             28              3             58
            119             29              3             58
            120             30              3             58
            121              1              4             58
            122              2              4             58
            123              3              4             58
            124              4              4             58
            125              5              4             58
            126              6              4             58
            127              7              4             58
            128              8              4             58
            129              9              4             58
            130             10              4             58
            131             11              4             58
            132             12              4             58
            133             13              4             58
            134             14              4             58
            135             15              4             58
            136             16              4             58
            137             17              4             58
            138             18              4             58
            139             19              4             58
            140             20              4             58
            141             21              4             58
            142             22              4             58
            143             23              4             58
            144             24              4             58
            145             25              4             58
            146             26              4             58
            147             27              4             58
            148             28              4             58
            149             29              4             58
            150             30              4             58
            151              1              5             42
            152              2              5             42
            153              3              5             42
            154              4              5             42
            155              5              5             42
            156              6              5             42
            157              7              5             42
            158              8              5             42
            159              9              5             42
            160             10              5             42
            161             11              5             42
            162             12              5             42
            163             13              5             42
            164             14              5             42
            165             15              5             42
            166             16              5             42
            167             17              5             42
            168             18              5             42
            169             19              5             42
            170             20              5             42
            171             21              5             42
            172             22              5             42
            173             23              5             42
            174             24              5             42
            175             25              5             42
            176             26              5             42
            177             27              5             42
            178             28              5             42
            179             29              5             42
            180             30              5             42

    Edge length     # of edges
             42            120
             58             60
