     Cross line      Init line      Cross-sec    Edge length
              1              1              0             42
              2              2              0             42
              3              3              0             42
              4              4              0             42
              5              5              0             42
              6              6              0             42
              7              7              0             42
              8              8              0             42
              9              9              0             42
             10             10              0             42
             11             11              0             42
             12             12              0             42
             13              1              1             42
             14              2              1             42
             15              3              1             42
             16              4              1             42
             17              5              1             42
             18              6              1             42
             19              7              1             42
             20              8              1             42
             21              9              1             42
             22             10              1             42
             23             11              1             42
             24             12              1             42
             25              1              2             42
             26              2              2             42
             27              3              2             42
             28              4              2             42
             29              5              2             42
             30              6              2             42
             31              7              2             42
             32              8              2             42
             33              9              2             42
             34             10              2             42
             35             11              2             42
             36             12              2             42
             37              1              3             42
             38              2              3             42
             39              3              3             42
             40              4              3             42
             41              5              3             42
             42              6              3             42
             43              7              3             42
             44              8              3             42
             45              9              3             42
             46             10              3             42
             47             11              3             42
             48             12              3             42
             49              1              4             42
             50              2              4             42
             51              3              4             42
             52              4              4             42
             53              5              4             42
             54              6              4             42
             55              7              4             42
             56              8              4             42
             57              9              4             42
             58             10              4             42
             59             11              4             42
             60             12              4             42
             61              1              5             42
             62              2              5             42
             63              3              5             42
             64              4              5             42
             65              5              5             42
             66              6              5             42
             67              7              5             42
             68              8              5             42
             69              9              5             42
             70             10              5             42
             71             11              5             42
             72             12              5             42

    Edge length     # of edges
             42             72
