     Cross line      Init line      Cross-sec    Edge length
              1              1              0             42
              2              2              0             42
              3              3              0             42
              4              4              0             42
              5              5              0             42
              6              6              0             42
              7              1              1             42
              8              2              1             42
              9              3              1             42
             10              4              1             42
             11              5              1             42
             12              6              1             42
             13              1              2             42
             14              2              2             42
             15              3              2             42
             16              4              2             42
             17              5              2             42
             18              6              2             42
             19              1              3             42
             20              2              3             42
             21              3              3             42
             22              4              3             42
             23              5              3             42
             24              6              3             42
             25              1              4             42
             26              2              4             42
             27              3              4             42
             28              4              4             42
             29              5              4             42
             30              6              4             42
             31              1              5             42
             32              2              5             42
             33              3              5             42
             34              4              5             42
             35              5              5             42
             36              6              5             42

    Edge length     # of edges
             42             36
